last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,avg_best_speed,avg_hyper_speed,z_swing_miss_percent,oz_swing_miss_percent,oz_contact_percent,hp_to_1b,sprint_speed,
Semien, Marcus,543760,2022,.243,.394,.306,.301,.151,87.3,19.9,32.4,6.8,6.2,97.838624343,5.00847117,12.3,42.9,57.1,4.37,28.9,
Springer III, George,543807,2022,.265,.438,.342,.342,.172,88.7,13.9,31.8,8.4,7.2,101.320507081,6.768491799,21,49.3,50.7,4.37,28.3,
Grichuk, Randal,545341,2022,.229,.370,.281,.271,.141,90,8.7,27.3,6.8,6.6,101.601495926,7.066145714,14.2,45.8,54.2,4.5,28.0,
Abreu, Jose,547989,2022,.296,.486,.373,.372,.190,92.2,8,34.5,9.5,7.7,102.953606518,8.20270568,14.7,41,59,4.65,26.0,
Suarez, Eugenio,553993,2022,.220,.454,.339,.321,.234,89.8,19.9,36.4,14.8,7.4,100.691818466,6.681885812,24,58.1,41.9,4.82,25.7,
Urshela, Gio,570482,2022,.268,.416,.323,.324,.148,88.9,11.8,38.6,7,6.6,99.120552402,5.736875907,15.4,32.6,67.4,4.54,25.8,
Schoop, Jonathan,570731,2022,.228,.338,.268,.267,.111,87,9.7,29.1,4.8,6.6,99.967628556,5.993791257,18.8,46.4,53.6,4.61,27.0,
Arenado, Nolan,571448,2022,.265,.445,.339,.335,.179,88.7,21.7,35.4,8.2,7.8,99.558566721,5.94061248,11.7,31.9,68.1,4.73,25.5,
Farmer, Kyle,571657,2022,.258,.380,.311,.320,.122,85.5,12.7,37.7,4.4,6.9,97.050252093,4.534027326,10.3,34.3,65.2,4.58,26.8,
Muncy, Max,571970,2022,.208,.417,.339,.342,.209,90.3,20.9,34.3,13.4,10.3,100.488456196,6.680756043,21.2,44,55.5,4.43,27.2,
Pollock, AJ,572041,2022,.258,.419,.317,.305,.161,88.8,11.6,32.9,9.4,5.8,100.414319188,6.34853632,15.2,44.5,55.5,4.42,27.8,
Voit III, Luke,572228,2022,.222,.434,.322,.306,.212,89.8,18.4,34.6,14.7,8.3,101.411871585,6.98573844,27.5,58.6,41.4,4.96,24.7,
Walker, Christian,572233,2022,.257,.484,.359,.343,.227,90,17,33.3,11.5,6.5,101.466371179,7.00141326,15.6,49.2,50.8,4.64,26.6,
Yastrzemski, Mike,573262,2022,.220,.392,.314,.313,.172,89.9,19.9,36.2,11.1,5.1,99.830966069,6.251098237,15.6,42.5,54.4,4.41,27.0,
Canha, Mark,592192,2022,.245,.362,.323,.351,.117,87.7,10.9,32.2,4.9,6.8,98.317698315,5.261380654,18.4,31.5,68.2,4.46,27.5,
Castellanos, Nick,592206,2022,.250,.395,.302,.293,.145,87.5,14.6,36.9,6.6,6.1,98.393032843,5.293370431,20.2,52.6,47.4,4.43,27.7,
